year,ind2d,sale_D,cogs_D,xsga_D,kexp,theta_WI1_ct,theta_WI1_kt,theta_WI2_ct,theta_WI2_xt,theta_WI2_kt,ratio_DLEU_PF1_cap_noncap,ratio_DLEU_PF2_cap_noncap,ratio_DLEU_CS_cap_noncap,ratio_DLEU_PS_profits_go
1986,11,17443867.91027832,13666353.44662476,2067066.198219299,1283355.265807152,.71023864,.48013631,.54009545,.2712698,.20087954,.6760211,.24758214,.08156874,.024483847
1987,11,16433941.34532928,13084261.06013489,1959337.92855835,1209514.784335375,.7176711,.19925137,.56779832,.24760328,-.021269903,.27763605,-.026085187,.080400623,.011003299
1988,11,17760934.32434082,13719258.24035645,2279146.140563965,1343184.275283813,.71019971,.19017854,.57436091,.25220838,-.036420055,.26778179,-.044061709,.083957389,.023610564
1989,11,18839352.17887878,14567622.84713745,2431555.581558228,1739719.432398796,.69288832,.28773639,.55668026,.15033154,.20768006,.41527095,.2937434,.10234138,.0053321533
1990,11,14453352.93650818,10704414.65568542,2154832.636535645,1377338.188247681,.70305604,.21773823,.55363089,.11140798,.20305741,.30970252,.30533165,.10710877,.014997728
1991,11,15121348.37866211,11161260.58538818,2238441.665542603,1317716.423789978,.68087476,.17570181,.51527154,.17580879,.16638313,.25805306,.24075802,.09833923,.026712546
1992,11,13534022.29034424,9378833.0597229,2388955.984024048,1450327.761314392,.68722546,.32475054,.50741917,.25831544,.29506725,.47255313,.38533878,.12324556,.023341581
1993,11,14844574.57543945,10028065.46655273,2636034.720092773,1493911.815185547,.69417006,.33869967,.52270132,.25360471,.30541185,.48792031,.39341682,.1179643,.046250068
1994,11,17091857.45678711,12170836.91638184,2682788.288116455,1812646.819328308,.71227008,.16197954,.5620622,.28285736,.092919998,.22741309,.10997497,.12203397,.024899894
1995,11,16106642.4041748,11012413.62780762,2779633.878417969,1677328.240791321,.73141694,.36128798,.58245623,.25238779,.26571491,.49395627,.31828091,.12161561,.039565455
1996,11,17313021.78393555,11757466.59384155,3183399.171676636,1871152.588195801,.75412685,.42405015,.61831075,.20510335,.38792571,.56230611,.47111863,.12523723,.028937954
1997,11,16911642.92572021,11942770.0958252,2817487.659622192,1703970.409790039,.80024856,.20971118,.6736269,.14314082,.18740456,.26205754,.22944658,.11544313,.026456019
1998,11,23917497.2355957,15082057.5859375,5329332.099472046,2639455.372299194,.8243295,.14546098,.6946795,.16141561,.13114229,.17645974,.15318659,.12931287,.036235068
1999,11,21331444.34179688,14139376.77062988,4332857.576217651,2166901.921203613,.84642637,.073637955,.70424968,.12251872,.20708483,.086998656,.25047502,.11730589,.032454815
2000,11,24273470.00415039,16710866.04003906,5129231.675720215,2427683.989013672,.84994507,.22022213,.71127206,.14607105,.23970276,.2591016,.27958789,.11115719,.00023434224
2001,11,20688277.84765625,13310605.23706055,4166526.633666992,2519010.751983643,.8893851,.069119282,.7097401,.17034222,.14192407,.077715807,.16126226,.14413181,.033455431
2002,11,19847282.01605225,12888175.61828613,3974744.117675781,2059767.441322327,.90226239,.086426146,.65533203,.31346282,.14858405,.095788263,.15336999,.12214773,.046585463
2003,11,21023523.77856445,14221495.30187988,3529669.568969727,1802017.157844543,.92066288,.10254472,.65028328,.38411087,.11739845,.1113814,.11349489,.10151543,.06993793
2004,11,23178452.73657227,16208808.984375,3632891.641235352,1714856.558784485,.92749119,.11078986,.67004943,.30376828,.18460928,.11945111,.18957272,.086426891,.069974281
2005,11,24898489.35302734,17723883.52319336,3707665.600463867,2009950.702453613,.94298303,.059529502,.68979073,.3735871,.18898328,.063128918,.17771979,.093784668,.058517184
2006,11,26351735.60940552,19049023.04330444,4048698.537628174,2312916.37228775,.92120701,.1800788,.67579561,.42461425,.2630212,.19548136,.23902112,.10013612,.035712928
2007,11,27875354.98876953,19806074.02972412,4124864.826599121,2381022.423370361,.93697858,.12076947,.67874932,.53249156,.12437273,.12889245,.10268208,.099495567,.056085158
2008,11,30274647.04248047,20449148.55493164,4699078.018920898,2043125.744186401,.87391108,.086430296,.65013045,.32679459,.18250543,.098900564,.1868162,.081243336,.10184412
2009,11,29049546,18814505,4511814,1983840.879455566,.85408586,.24168681,.63179976,.35649472,.24561322,.28297716,.2485223,.08504732,.12872443
2010,11,27566173.41986084,19218245.93971252,4535649.15020752,2001176.235214233,.84338659,.13723992,.64895481,.29662591,.17842448,.16272481,.18869302,.084246233,.065700166
2011,11,28707654.46325684,19443748.43664551,4806419.680419922,1897572.228027344,.84169149,.25726214,.64506012,.25814453,.33935294,.30564898,.37572098,.078249857,.089171834
2012,11,28310608.50097656,18475936.75439453,4975232.178985596,1917541.534301758,.8386451,.26479512,.64593703,.20507193,.33749914,.31574157,.39658707,.081767417,.10391504
2013,11,25656638.69589329,15675869.81040955,4772259.635925293,1999952.685821533,.87151903,.21001369,.6730029,.25371665,.2916221,.24097429,.31468216,.097806141,.12505756
2014,11,23838782.23883057,13278811.27487183,4822986.947692871,1959124.996948242,.89964187,.15909451,.72049761,.100297,.26611045,.17684205,.32421076,.1082282,.15847534
